,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
2055,Kepler-433 b,5.33408384,2.82,0.0678214,0.119,89.21,1.45,,0.082,1,Transit,2010,297.5936375,40.97722222,,14.35,1870.0,1.46,1.45,6360.0,3.89,-0.01,1.1e-06,0.52,0.00263234,0.079,0.52,0.16,,0.081,210.0,0.17,0.16,140.0,0.06,0.2,1.1e-06,0.52,0.00263234,0.079,0.9,0.16,,-0.081,210.0,-0.17,0.16,140.0,-0.06,0.2,11.0,1.0,-1.0,2.67,0.91,0.91,,
2057,Kepler-435 b,8.6001536,0.84,0.0948,0.114,85.51,1.99,,0.448,1,Transit,2010,292.2873291,43.19722222,,13.91,2070.0,1.538,3.21,6161.0,3.61,-0.18,1.8e-06,0.15,0.0018,0.077,0.52,0.18,,0.024,200.0,0.088,0.3,94.0,0.05,0.11,-1.8e-06,0.15,0.0018,0.077,0.52,0.18,,-0.024,200.0,0.088,0.3,94.0,-0.07,0.11,6.0,1.0,-1.0,2.25,0.42,0.42,,
2063,Kepler-44 b,3.2467293,1.02,0.0446,0.0,84.96,1.24,,0.62,1,Transit,2011,300.10235,45.76213889,,15.0,2250.0,1.12,1.52,5800.0,4.22,0.26,3e-06,0.07,0.0011,0.021,0.5,0.07,,0.02,300.0,0.08,0.09,100.0,0.04,0.1,-3e-06,0.07,-0.0011,0.0,-0.62,0.07,,-0.02,300.0,-0.08,0.09,-100.0,-0.04,0.1,4.0,2.0,-2.0,6.95,1.7,1.7,,
2079,Kepler-447 b,7.79430132,1.36628,0.0769686,0.123,86.55,1.65,,1.076,1,Transit,2010,285.2685834,48.56,,12.5,,1.0,1.05,5493.0,4.4,0.07,1.82e-06,0.234511,0.0053878,0.0123,0.08,0.2,,0.0373,,0.21,0.063,62.0,0.1,0.05,1.82e-06,0.234511,0.0053878,0.0121,0.106,0.18,,0.0293,,0.21,0.063,62.0,-0.1,0.05,,,,,,,,
2081,Kepler-45 b,2.455239,0.510798,0.0298817,0.11,87.0,0.96,,0.6,1,Transit,2011,292.8728958,41.06425,,16.88,333.0,0.59,0.55,3820.0,4.7,0.28,4e-06,0.0579971,0.00101294,0.1,0.7,0.11,,0.2,33.0,0.06,0.11,90.0,0.2,0.14,-4e-06,0.0579971,0.00101294,0.1,0.7,0.11,,-0.2,33.0,0.06,0.11,90.0,-0.2,-0.14,,,,0.5,,,,
2100,Kepler-471 b,5.01423457,1.0,0.0654845,0.0,,1.335,,,1,Transit,2016,299.0975417,43.49758333,,,1373.0,1.49,1.8,6733.0,4.1,0.07,5.9e-07,0.0,0.00292995,,,5e-05,,,489.66,0.22,0.65,288.74,0.14,0.144,5.9e-07,0.0,0.00292995,,,0.74795,,,276.83,0.18,0.36,288.8,-0.21,0.156,,,,1.58,0.65,-0.346,,
2117,Kepler-485 b,3.2432598,1.0,0.0438587,0.0,,1.286,,,1,Transit,2016,294.9963333,50.47005556,,,1173.0,1.07,1.09,5958.0,4.39,0.04,1.8e-07,0.0,0.00102474,,,8e-05,,,271.34,0.08,0.26,105.05,0.09,0.147,-1.8e-07,0.0,0.00102474,,,0.44692,,,140.37,0.07,0.12,153.72,-0.16,0.161,,,,3.72,2.0,-2.02,,
2121,Kepler-488 b,3.12082923,1.0,0.0427479,0.0,,1.409,,,1,Transit,2016,282.9661667,48.34508333,,,1157.0,1.07,1.09,5970.0,4.39,0.03,3.8e-07,0.0,0.000932196,,,0.00029,,,279.44,0.07,0.27,97.43,0.07,0.139,3.8e-07,0.0,0.000932196,,,0.47771,,,115.15,0.07,0.1,95.08,-0.17,0.172,,,,3.47,2.02,-1.77,,
2127,Kepler-490 b,3.26869515,1.0,0.0442246,0.0,,1.039,,,1,Transit,2016,295.0256667,46.956,,,1249.0,1.08,1.12,6045.0,4.37,-0.02,2.3e-07,0.434334,0.00116021,,,8e-05,,,353.01,0.1,0.32,142.42,0.09,0.132,2.3e-07,0.434334,0.00116021,,,0.41692,,,153.14,0.07,0.13,126.76,-0.18,0.177,,,,3.47,1.8,-1.71,,
2128,Kepler-491 b,4.22538451,0.476871,0.0518237,0.0,,0.796,,,1,Transit,2016,287.1305834,42.35016667,,,657.0,1.04,1.03,5582.0,4.42,0.37,2.7e-07,0.117141,0.000863728,,,6e-05,,,59.53,0.03,0.09,53.81,0.05,0.049,2.7e-07,0.117141,0.000863728,,,0.11594,,,38.83,0.03,0.06,61.11,-0.07,0.053,,,,4.47,2.26,-2.43,,
2130,Kepler-493 b,3.00387658,1.0,0.0451413,0.0,,1.35,,,1,Transit,2016,295.3075416,38.88163889,,,1942.0,1.36,1.54,6457.0,4.19,0.11,9.9e-07,0.0,0.00165961,,,0.0004,,,622.45,0.16,0.51,210.24,0.12,0.153,9.9e-07,0.0,0.00165961,,,0.6726,,,341.11,0.14,0.26,229.75,-0.2,0.133,,,,2.0,0.721,-0.533,,
2137,Kepler-5 b,3.5484657,2.114,0.05064,0.0,89.14,1.426,,0.393,1,Transit,2010,299.4070083,44.03502778,,,,1.374,1.79,6297.0,3.96,0.04,7e-07,0.064,0.0007,,0.44,0.036,,0.051,,0.04,0.04,60.0,0.1,0.06,-7e-07,0.064,0.0007,,-0.32,-0.051,,0.043,,0.059,-0.06,60.0,-0.1,0.06,4.8,1.0,-1.0,,,,,
2162,Kepler-52 b,7.8773565,8.7,0.0630945,,,0.187182,,0.8142,3,Transit,2011,286.7380334,49.97575,,15.5,,0.54,0.56,4263.0,4.74,-0.289,3.8e-05,0.0,0.00105157,,,,,0.5367,,,0.02,100.0,0.15,,3.8e-05,8.7,0.00105157,,,,,0.5367,,,-0.02,-100.0,-0.15,,,,,,,,,
2202,Kepler-548 b,4.45419434,1.0,0.0517147,0.0,,1.07,,,1,Transit,2016,299.9059167,45.43966667,,,776.0,0.93,0.9,5535.0,4.5,0.0,3.8e-07,0.070343,0.00148286,,,0.00047,,,153.57,0.09,0.16,265.27,0.06,0.135,3.8e-07,0.070343,0.00148286,,,0.29253,,,80.61,0.07,0.08,230.38,-0.13,0.169,,,,4.37,5.08,-2.66,,
2271,Kepler-6 b,3.2346996,0.669,0.04567,0.0,88.93,1.304,,0.398,1,Transit,2010,296.8372542,48.23994444,,,,1.209,1.391,5647.0,4.24,0.34,4e-07,0.025,0.00046,,0.19,0.018,,0.02,,0.038,0.017,44.0,0.01,0.04,-4e-07,0.03,0.00046,,-0.17,-0.033,,0.039,,0.038,0.028,44.0,-0.01,0.04,3.0,1.0,-1.0,3.8,1.0,1.0,,
2360,Kepler-670 b,2.81650485,1.0,0.0389008,0.0,,1.176,,,1,Transit,2016,297.0154584,49.22530556,,,980.0,0.99,0.99,5709.0,4.44,0.07,1.5e-07,0.0,0.000720385,,,8e-05,,,218.34,0.05,0.22,89.42,0.07,0.139,1.5e-07,0.0,0.000720385,,,0.36992,,,97.82,0.06,0.09,134.39,-0.17,0.149,,,,4.79,3.69,-2.94,,
2378,Kepler-685 b,1.6255222,1.0,0.0280141,0.0,,0.944,,,1,Transit,2016,293.8719167,38.42294444,,,1145.0,1.11,1.16,5963.0,4.36,0.15,1.5e-07,0.610329,0.000757137,,,0.00015,,,327.07,0.11,0.34,94.44,0.09,0.145,1.5e-07,0.610329,0.000757137,,,0.37885,,,137.21,0.07,0.13,126.15,-0.19,0.154,,,,3.39,1.6,-1.76,,
2379,Kepler-686 b,1.59474546,1.0,0.0261684,0.0,,1.084,,,1,Transit,2016,285.2137917,39.02747222,,,1203.0,0.94,0.92,5649.0,4.49,-0.07,1.1e-07,0.0,0.000556774,,,0.00045,,,199.22,0.06,0.15,155.14,0.06,0.152,1.1e-07,0.0,0.000556774,,,0.26555,,,107.4,0.06,0.08,112.79,-0.13,0.184,,,,4.47,4.47,-2.74,,
2381,Kepler-688 b,3.89593684,0.696016,0.0481308,0.0,,0.871,,,1,Transit,2016,294.65525,39.30836111,,,1247.0,0.98,0.96,5715.0,4.47,0.02,8e-07,0.316592,0.00114597,,,0.00071,,,225.58,0.07,0.17,152.52,0.06,0.133,8e-07,0.316592,0.00114597,,,0.24329,,,135.14,0.07,0.09,199.21,-0.14,0.167,,,,4.27,3.92,-2.54,,
2390,Kepler-695 b,3.04033042,0.542157,0.0387537,0.0,,0.822,,,1,Transit,2016,299.3160834,40.82236111,,,620.0,0.84,0.8,5181.0,4.57,-0.01,3e-07,0.131136,0.000768923,,,0.00038,,,54.31,0.05,0.06,199.46,0.04,0.149,3e-07,0.131136,0.000768923,,,0.11262,,,42.99,0.05,0.05,197.86,-0.06,0.162,,,,4.47,6.17,-2.71,,
2395,Kepler-7 b,4.8854892,0.436942,0.06246,0.1,85.161,1.622,,0.5599,1,Transit,2010,288.5815167,41.08980556,,,,1.347,1.97,5933.0,3.98,0.11,9e-07,0.0385085,0.00046,0.1,0.055,0.013,,0.0045,,4.94e-05,0.01,44.0,0.018,0.03,-9e-07,0.0385085,0.00046,0.1,-0.054,-0.013,,-0.0046,,0.125950554,-0.01,44.0,0.182,0.03,4.2,0.5,-0.5,3.5,1.0,1.0,,
2399,Kepler-703 b,4.58352176,0.349418,0.0570646,0.0,,0.732,,,1,Transit,2016,299.1868751,41.74269444,,,1482.0,1.18,1.27,6185.0,4.29,0.05,1.73e-06,0.242559,0.00257919,,,0.00057,,,656.01,0.2,0.57,197.61,0.13,0.139,1.73e-06,0.242559,0.00257919,,,0.45443,,,269.87,0.12,0.21,248.39,-0.25,0.147,,,,2.69,1.3,-0.938,,
2411,Kepler-714 b,8.09888799,0.667539,0.0812267,0.0,,0.863,,,1,Transit,2016,282.6995417,43.27275,,,1460.0,1.09,1.12,5995.0,4.37,0.04,2.19e-06,0.358099,0.001863,,,0.00024,,,363.85,0.08,0.29,106.7,0.08,0.139,2.19e-06,0.358099,0.001863,,,0.31176,,,160.8,0.07,0.12,117.06,-0.18,0.157,,,,3.55,1.77,-1.81,,
2415,Kepler-718 b,2.0523499,1.0,0.0333991,0.0,,1.477,,,1,Transit,2016,299.5618751,43.50355556,,,1520.0,1.18,1.3,6191.0,4.28,0.06,1.5e-07,0.0,0.00174543,,,0.00049,,,661.22,0.23,0.55,307.31,0.14,0.135,1.5e-07,0.0,0.00174543,,,0.89951,,,306.43,0.14,0.24,307.12,-0.23,0.135,,,,2.57,1.84,-0.876,,
2416,Kepler-719 b,5.00731778,0.4002,0.0570893,0.0,,0.76,,,1,Transit,2016,295.536125,43.88444444,,,1427.0,0.99,0.98,5777.0,4.45,-0.02,1.25e-06,0.179831,0.00144165,,,0.00019,,,313.69,0.08,0.21,199.43,0.07,0.135,1.25e-06,0.179831,0.00144165,,,0.24281,,,169.25,0.07,0.1,220.79,-0.15,0.176,,,,3.98,3.54,-2.23,,
2417,Kepler-720 b,4.70832654,0.381266,0.0540454,0.0,,0.75,,,1,Transit,2016,298.6356666,44.17094444,,,880.0,0.95,0.92,5618.0,4.49,0.0,7.3e-07,0.156394,0.0017067,,,0.00017,,,191.51,0.11,0.18,328.49,0.07,0.144,7.3e-07,0.156394,0.0017067,,,0.21483,,,93.94,0.07,0.09,250.53,-0.12,0.177,,,,3.63,3.8,-1.94,,
2421,Kepler-723 b,4.08227507,1.0,0.0486188,0.0,,1.088,,,1,Transit,2016,284.8304583,44.65813889,,,965.0,0.92,0.89,5539.0,4.51,0.0,2.3e-07,0.0,0.000810313,,,9e-05,,,125.65,0.04,0.12,75.49,0.05,0.136,2.3e-07,0.0,0.000810313,,,0.21091,,,67.84,0.05,0.06,85.21,-0.12,0.178,,,,4.57,5.7,-2.87,,
2428,Kepler-730 b,6.49168426,0.542157,0.0681049,0.0,,0.822,,,1,Transit,2016,285.5547917,45.57886111,,,1455.0,1.0,1.01,5726.0,4.43,0.07,1.65e-06,0.280923,0.00113508,,,0.00038,,,405.92,0.05,0.28,64.76,0.07,0.14,1.65e-06,0.280923,0.00113508,,,0.29862,,,130.2,0.04,0.09,67.38,-0.21,0.143,,,,4.68,3.8,-2.84,,
2429,Kepler-731 b,3.85560355,1.0,0.0485975,0.0,,1.238,,,1,Transit,2016,296.3931666,45.56855556,,,1311.0,1.03,1.06,5849.0,4.41,0.04,2.9e-07,0.0,0.00117955,,,8e-05,,,302.36,0.09,0.24,200.38,0.08,0.132,2.9e-07,0.0,0.00117955,,,0.41992,,,153.48,0.06,0.12,139.51,-0.17,0.154,,,,3.8,3.08,-2.05,,
2439,Kepler-74 b,7.340718,0.68,0.0781,0.287,87.46,0.96,,0.685,1,Transit,2011,293.0925417,41.3555,,14.23,1330.0,1.18,1.12,6000.0,4.44,0.42,1e-06,0.09,0.0007,0.062,0.07,0.02,,0.011,170.0,0.04,0.04,100.0,0.01,0.11,1e-06,0.09,-0.0007,0.062,-0.07,-0.02,,-0.011,170.0,-0.04,-0.04,-100.0,-0.01,-0.11,5.0,1.0,-1.0,2.9,1.5,0.8,,
2450,Kepler-75 b,8.884924,10.1,0.0818,0.57,89.12,1.05,,0.13,1,Transit,2011,291.1375917,36.57736111,,15.0,1140.0,0.91,0.89,5200.0,4.5,-0.07,2e-06,0.4,0.0012,0.01,0.51,0.03,,0.09,205.0,0.04,0.02,100.0,0.02,0.15,2e-06,-0.4,-0.0012,-0.01,-0.64,-0.03,,-0.08,295.0,-0.04,-0.02,-100.0,-0.02,0.15,3.5,1.5,-1.5,6.0,3.0,3.0,,
2466,Kepler-76 b,1.54492875,1.96,0.0271768,0.0,78.0,1.25,,0.9623,1,Transit,2013,294.1921167,39.619,,14.0,,1.2,1.32,6409.0,4.388,-0.033,2.7e-07,0.25,0.000452984,,0.2,0.08,,0.004,,0.2,0.08,95.0,0.3,0.2,2.7e-07,0.25,0.000452984,,0.2,0.08,,-0.0049,,0.2,-0.08,-95.0,-0.3,-0.2,6.5,2.0,-2.0,,,,,
2470,Kepler-762 b,3.7705521,1.0,0.0483406,0.0,,1.131,,,1,Transit,2016,291.275625,47.3295,,,1465.0,1.06,1.08,5944.0,4.4,0.02,9.4e-07,0.0,0.000988093,,,0.00029,,,303.43,0.07,0.23,98.94,0.07,0.139,9.4e-07,0.0,0.000988093,,,0.34771,,,153.41,0.06,0.11,123.9,-0.15,0.162,,,,3.8,2.18,-2.04,,
2479,Kepler-77 b,3.57878087,0.43,0.04501,0.0,88.0,0.96,,0.341,1,Transit,2013,289.6079541,44.34541667,,15.0,570.0,0.95,0.99,5520.0,4.42,0.2,2.3e-07,0.032,0.00063,,0.11,0.016,,0.017,70.0,0.04,0.02,60.0,0.01,0.05,-2.3e-07,0.032,0.00063,,0.11,0.016,,-0.017,70.0,0.04,0.02,60.0,-0.01,0.05,1.8,1.0,-1.0,7.5,2.0,2.0,,
2498,Kepler-785 b,1.97376093,1.0,0.0282249,0.0,,1.162,,,1,Transit,2016,292.0682916,38.84225,,,666.0,0.77,0.71,4739.0,4.62,-0.02,1e-07,0.0,0.000470416,,,0.00041,,,28.64,0.03,0.02,115.49,0.02,0.131,1e-07,0.0,0.000470416,,,0.08559,,,30.11,0.04,0.03,69.98,-0.02,0.133,,,,2.82,4.7,-1.29,,
2517,Kepler-8 b,3.5224991,0.582607,0.0483278,0.0,83.978,1.416,5.0,0.7191,1,Transit,2010,281.2881167,42.45105556,,13.9,1330.0,1.213,1.49,6213.0,4.174,-0.055,7e-07,0.104309,0.000863234,,0.036,0.053,7.0,0.0021,180.0,0.063,0.05,150.0,0.026,0.03,-7e-07,0.104309,0.000863234,,-0.033,-0.062,7.0,-0.0023,180.0,0.063,-0.06,150.0,0.026,0.03,10.5,0.7,-0.7,3.84,1.5,1.5,,
2544,Kepler-817 b,3.99010623,0.500877,0.0497212,0.0,,0.806,,,1,Transit,2016,296.0818751,39.16161111,,,1401.0,1.03,1.03,5861.0,4.42,0.02,1.36e-06,0.251053,0.0016091,,,1e-05,,,336.72,0.12,0.23,259.88,0.08,0.139,1.36e-06,0.251053,0.0016091,,,0.28499,,,177.98,0.08,0.12,241.24,-0.15,0.161,,,,3.55,2.9,-1.87,,
2580,Kepler-840 b,2.49577962,1.0,0.0364828,0.0,,1.523,,,1,Transit,2016,296.507375,49.45727778,,,778.0,1.04,1.06,5920.0,4.41,0.0,4.8e-07,0.0,0.000818525,,,0.0001,,,178.96,0.07,0.24,113.64,0.08,0.136,4.8e-07,0.0,0.000818525,,,0.5139,,,91.69,0.07,0.12,159.58,-0.16,0.176,,,,3.89,2.49,-2.18,,
2598,Kepler-854 b,2.14463285,1.0,0.0342955,0.0,,1.492,,,1,Transit,2016,293.3512917,43.13463889,,,741.0,1.17,1.27,6179.0,4.29,0.04,6.8e-07,0.0,0.0012702,,,0.00046,,,299.8,0.17,0.51,110.41,0.11,0.13,6.8e-07,0.0,0.0012702,,,0.80754,,,107.88,0.09,0.17,142.15,-0.23,0.148,,,,3.02,1.06,-1.23,,
2599,Kepler-855 b,7.8866311,0.372141,0.0783093,0.0,,0.745,,,1,Transit,2016,295.095,43.53758333,,,1043.0,1.03,1.03,5835.0,4.42,0.06,2.47e-06,0.157838,0.001774,,,0.00014,,,211.48,0.07,0.21,99.82,0.07,0.146,2.47e-06,0.157838,0.001774,,,0.22386,,,107.47,0.07,0.1,156.07,-0.15,0.158,,,,4.17,2.83,-2.36,,
2600,Kepler-856 b,8.02768059,0.564251,0.0774029,0.0,,0.83,,,1,Transit,2016,289.6038333,46.31494444,,,1175.0,0.96,0.93,5535.0,4.49,0.12,2.01e-06,0.188486,0.00129005,,,0.00041,,,158.82,0.04,0.12,69.55,0.05,0.15,2.01e-06,0.188486,0.00129005,,,0.16559,,,78.49,0.04,0.06,84.49,-0.12,0.142,,,,4.27,5.3,-2.67,,
2769,M 67 YBP 1194 b,6.959,0.32,0.0715732,0.3,,,,,1,RV,2014,132.753375,11.81465556,0.626,14.6,843.335,1.01,0.99,5780.0,4.44,0.023,0.001,0.03,0.00119291,0.08,,,,,,0.02,0.02,27.0,0.035,0.015,-0.001,-0.03,0.00119291,-0.08,,,,,,0.02,0.02,27.0,0.035,0.015,,,,,,,,
2770,M 67 YBP 1514 b,5.118,0.397418,0.057344,0.28,,,,,1,RV,2014,132.7532083,11.88653056,0.68,14.77,843.335,0.96,0.89,5725.0,4.57,0.03,0.001,0.085889,0.000955762,0.09,,,,,,0.01,0.02,45.0,0.05,0.05,0.001,0.085889,0.000955762,-0.09,,,,,,0.01,0.02,45.0,0.05,0.05,,,,,,,,
2788,OGLE-TR-10 b,3.10129,0.68,0.04162,0.0,90.0,1.72,,0.0,1,Transit,2005,267.8677083,-29.87636111,,15.78,1500.0,1.18,1.16,5950.0,4.358,0.28,1e-05,0.15,4e-05,,0.0,0.11,,0.54,,0.04,0.06,130.0,0.064,0.1,1e-05,0.15,4e-05,,-3.9,0.11,,0.0,,0.04,0.06,,0.084,0.1,3.0,1.0,-1.0,1.1,86.0,86.0,,
2789,OGLE-TR-111 b,4.0144463,0.548406,0.047,0.0,88.3,1.019,,0.35,1,Transit,2004,163.324625,-61.40563889,,16.96,1500.0,0.852,0.831,5040.0,4.529,0.19,1e-06,0.101222,0.001,,0.3,0.026,,0.04,0.0,0.055,0.031,80.0,0.038,0.07,-1e-06,0.101222,0.001,,-0.2,-0.026,,-0.06,0.0,0.055,0.031,400.0,0.042,0.07,0.0,0.0,0.0,1.1,inf,,,
2790,OGLE-TR-113 b,1.4324772,1.26,0.02289,0.0,89.4,1.093,,0.24,1,Transit,2004,163.1016666,-61.44680556,,16.08,600.0,0.779,0.774,4790.0,4.552,0.09,1.2e-06,0.16,0.00016,,0.6,0.028,,0.06,,0.016,0.02,75.0,0.009,0.08,1.2e-06,-0.16,-0.00015,,0.6,-0.019,,0.18,,0.016,0.011,130.0,0.017,0.08,0.0,0.0,0.0,0.7,,,,
2791,OGLE-TR-132 b,1.689868,1.16945,0.0303507,0.0,83.4,1.23,,0.56,1,Transit,2004,162.6446667,-61.95719444,,15.72,172.414,1.26,1.34,6210.0,4.31,0.37,3e-06,0.132994,0.000550422,,1.3,0.07,,0.046,16.2655,0.03,0.08,59.0,0.06,0.07,3e-06,0.132994,0.000550422,,1.3,0.07,,-0.22,13.6835,0.03,0.08,59.0,-0.09,0.07,0.0,0.0,0.0,1.2,1.5,-1.1,,
2792,OGLE-TR-182 b,3.9791,1.06,0.0513517,0.0,85.7,1.47,,,1,Transit,2008,167.3279583,-61.09525,,16.84,,1.14,1.14,5924.0,4.47,0.37,1e-05,0.15,0.000855862,,0.3,0.14,,,,0.05,0.06,64.0,0.18,0.0,1e-05,0.15,0.000855862,,0.3,0.14,,,,0.05,0.06,64.0,0.18,0.0,0.0,0.0,0.0,,,,,
2793,OGLE-TR-211 b,3.67724,1.03,0.0512842,0.0,84.2182,1.26,,0.68,1,Transit,2008,160.0599584,-62.45561111,,,,1.33,1.64,6325.0,4.22,0.11,3e-05,0.2,0.000854736,,5.7818,0.09,,0.07,,0.05,0.07,91.0,0.17,0.1,3e-05,-0.2,0.000854736,,1.5182,0.09,,0.68,,0.05,0.07,91.0,0.17,0.1,0.0,0.0,0.0,,,,,
2794,OGLE-TR-56 b,1.211909,1.3,0.0225,0.0,78.8,1.363,,0.817,1,Transit,2003,269.1479583,-29.53922222,,16.56,1500.0,1.17,1.32,6050.0,4.258,0.22,1e-06,0.08,0.0004,,0.5,0.092,,0.016,,0.04,0.06,100.0,0.043,0.1,1e-06,0.08,0.0004,,0.5,-0.09,,0.031,,0.04,0.06,,0.043,0.1,0.0,0.0,0.0,2.0,inf,,,
2795,OGLE2-TR-L9 b,2.4855335,4.5,0.0308,0.0,79.8,1.61,,0.7699,1,Transit,2009,166.9799208,-61.14625,,,900.0,1.52,1.53,6933.0,4.25,0.0,7e-07,1.5,0.0005,,0.3,0.04,,0.0085,,0.08,0.04,58.0,0.01,0.0,7e-07,-1.5,0.0005,,0.3,-0.04,,0.0085,,0.08,0.04,58.0,0.01,0.0,39.33,0.38,,0.66,,,,
2802,Pr 201 b,4.4264,0.54,0.0565986,0.0,,,,,1,RV,2012,130.4325958,20.22688889,0.77,10.33,177.47,1.23,1.12943,6174.0,4.41,0.187,0.007,0.039,0.000945196,,,,,,20.18,0.03,0.041764,50.0,0.1,0.038,0.007,0.039,0.000945196,,,,,,-16.44,0.034,0.041764,50.0,0.1,0.038,9.6,0.5,,0.578,0.049,0.049,,
2803,Pr 211 b,2.14609,1.88,0.03184,0.017,,,,,2,RV,2012,130.5478833,19.27702778,0.870001,12.15,170.0,0.94,0.83,5300.0,4.51,0.18,2e-05,0.02,0.00015,0.01,,,,,,0.01,0.01,30.0,0.05,0.02,2e-05,0.02,0.00015,0.01,,,,,,-0.01,-0.01,-30.0,-0.05,-0.02,5.1,0.3,-0.3,0.578,0.012,-0.012,,
2804,Qatar-1 b,1.4200242,1.33,0.0234308,0.0,84.08,1.143,-8.4,0.645,1,Transit,2011,303.3817292,65.16207778,1.057,12.843,175.0,0.85,0.8,5013.0,4.55,0.2,2.2e-07,0.05,0.000390514,,0.16,0.026,7.1,0.01,29.8766,0.03,0.02,93.0,0.01,0.1,-2.2e-07,0.05,0.000390514,,-0.15,-0.025,7.1,-0.011,22.272,0.03,-0.02,-88.0,-0.01,0.1,1.76,0.21,-0.21,4.5,inf,,,
2805,Qatar-2 b,1.33711647,2.494,0.02153,0.0,86.12,1.254,15.0,0.19,1,Transit,2012,207.6558708,-6.804,0.7,13.3,,0.74,0.78,4645.0,4.53,0.02,2.6e-07,0.054,0.0002,,0.08,0.013,20.0,0.1,,0.02,0.01,50.0,0.01,0.08,-2.6e-07,-0.054,-0.0002,,-0.08,-0.013,20.0,0.1,,-0.02,-0.01,50.0,-0.01,-0.08,3.28,0.04,-0.04,5.0,,,,
2811,TrES-1 b,3.0300722,0.752,0.03925,0.0,90.0,1.067,30.0,0.0,1,Transit,2004,286.0410167,36.63263889,0.78,11.76,157.0,0.878,0.807,5230.0,4.57,0.02,2e-07,0.047,0.00056,,0.0,0.022,21.0,0.19,6.0,0.038,0.017,50.0,0.01,0.05,2e-07,-0.046,-0.0006,,-1.1,-0.021,21.0,0.0,6.0,0.04,0.016,-50.0,-0.01,-0.05,10.3528,0.0657268,0.0657268,2.5,1.4,1.4,,-4.92
2812,TrES-2 b,2.470613374,1.253,0.0355765,0.0,83.908,1.189,-9.0,0.8436,1,Transit,2006,286.8084792,49.31638889,0.619,11.411,220.0,0.98,1.003,5850.0,4.427,-0.15,1.87e-08,0.052,0.0007359,,0.009,0.025,12.0,0.0008,10.0,0.06,0.033,50.0,0.019,0.1,1.87e-08,0.052,0.0007359,,0.009,0.025,12.0,-0.0006,10.0,-0.06,0.033,50.0,0.021,0.1,2.0,1.5,,5.1,2.7,2.7,,
2813,TrES-3 b,1.30618608,1.91,0.02282,0.0,81.85,1.336,,0.84,1,Transit,2007,268.0292501,37.54616667,0.712,12.402,245.098,0.915,0.812,5650.0,4.581,-0.19,3.8e-07,0.06,0.00023,,0.16,0.031,,0.01,13.9693,0.031,0.014,75.0,0.017,0.08,3.8e-07,0.07,-0.0004,,-0.16,-0.037,,0.01,12.5399,0.021,0.025,150.0,0.012,0.08,1.5,1.0,,,,,,
2814,TrES-4 b,3.55392771,0.494,0.0516,0.0,82.81,1.706,7.3,0.755,1,Transit,2007,268.3044084,37.21175,0.52,11.592,479.0,1.388,1.798,6295.0,4.064,0.28,4.7e-07,0.035,0.0005,,0.33,0.056,4.6,0.015,26.0,0.042,0.052,65.0,0.021,0.09,-4.7e-07,-0.035,-0.0005,,0.33,0.056,4.6,0.015,26.0,0.042,0.052,-65.0,0.021,-0.09,8.5,0.5,-0.5,2.9,0.3,0.3,,
2815,TrES-5 b,1.4822446,1.778,0.02446,0.0,84.529,1.194,,0.579,1,Transit,2011,305.2218792,59.44877778,0.927,13.718,360.0,0.893,0.87,5171.0,4.52,0.2,7e-07,0.063,0.0001069,,0.005,0.015,,0.026,11.0,0.024,0.01,36.0,0.01,0.08,7e-07,0.063,0.0001069,,0.005,-0.015,,0.026,11.0,0.024,-0.01,36.0,-0.01,0.08,3.8,0.36,,7.38,1.87,1.87,,
2816,WASP-1 b,2.5199454,0.827536,0.03889,0.0,88.65,1.483,-79.0,0.132877,1,Transit,2007,5.166987495,31.98991667,0.2,11.79,408.163,1.2,1.47,6110.0,4.19,0.26,5e-07,0.0508037,0.00053,,0.51,0.024,4.5,0.052247,28.518,0.03,0.02,45.0,0.02,0.08,-5e-07,0.0508037,-0.00073,,0.55,-0.034,4.3,0.052247,25.0214,0.03,-0.03,45.0,0.022,0.08,5.77,0.35,,3.4,1.2,-0.6,,
2817,WASP-10 b,3.0927616,3.19034,0.0384536,0.057,88.49,1.08,,0.299,1,Transit,2009,348.9929126,31.46283333,,12.7,90.0901,0.79,0.7,4675.0,4.4,0.03,1.12e-05,0.115876,0.000640893,0.005,0.195,0.02,,0.029,19.8,0.02,0.01,100.0,0.2,0.2,-1.12e-05,0.115876,0.000640893,0.005,0.195,0.02,,-0.043,13.7542,0.03,0.043,100.0,0.2,0.2,3.0,3.0,3.0,0.8,0.2,0.2,,
